% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 6
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       58.275014
         2       53.269307
         3       52.959837
         4       53.176811
         5       52.803596
         6       51.805403
         7       51.396543
         8       51.544574
         9       51.485891
        10       51.101181
        11       50.513127
        12       49.512685
        13       48.110588
        14       46.758447
        15       45.264887
        16       42.956399
        17       41.308502
        18       39.792453
        19       38.639053
        20       37.605874
        21       36.904589
        22       36.234268
        23       36.369466
        24       35.979751
        25       35.815427
        26       35.991194
        27       36.174750
        28       36.347569
        29       36.576922
        30       36.623020
        31       36.537148
        32       36.058797
        33       36.013846
        34       36.116929
        35       35.776666
        36       35.137848
        37       33.592968
        38       31.119084
        39       29.013699
        40       26.403781
        41       25.146856
        42       23.090008
        43       22.239960
        44       21.704323
        45       21.557042
        46       21.710331
        47       21.990743
        48       21.900678
        49       21.944640
        50       21.387147
        51       21.158985
        52       20.598336
        53       19.971232
        54       19.420403
        55       18.825847
        56       18.628906
        57       18.698983
        58       18.933947
        59       19.206324
        60       19.456427
        61       19.611810
        62       19.928847
        63       20.049771
        64       19.655637
        65       17.345968
        66       14.060803
        67       10.868587
        68        8.192537
        69        6.012682
        70        4.581718
        71        3.667643
        72        4.060199
        73        5.111346
        74        7.180772
        75       10.923864
        76       17.253950
