% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 39
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       56.394818
         2       51.389121
         3       51.079675
         4       51.296915
         5       50.925667
         6       49.937417
         7       49.586007
         8       49.775953
         9       49.712151
        10       49.288194
        11       48.651609
        12       47.602657
        13       46.188333
        14       44.944685
        15       43.641627
        16       41.722572
        17       40.206948
        18       38.750591
        19       37.514448
        20       36.467544
        21       35.761353
        22       35.068653
        23       35.247810
        24       34.829401
        25       34.659875
        26       34.852467
        27       35.042769
        28       35.212262
        29       35.427531
        30       35.437076
        31       35.256203
        32       34.705355
        33       34.569598
        34       34.620110
        35       34.139858
        36       33.374046
        37       31.715743
        38       29.177804
        39       27.050331
        40       24.416763
        41       23.150804
        42       21.084524
        43       20.226491
        44       19.687993
        45       19.535455
        46       19.685505
        47       19.964223
        48       19.879447
        49       19.936440
        50       19.412026
        51       19.254967
        52       18.766943
        53       18.445696
        54       18.085894
        55       17.921953
        56       18.040378
        57       18.338429
        58       18.612983
        59       18.832633
        60       18.883914
        61       19.190203
        62       19.504605
        63       19.839455
        64       18.869350
        65       15.997046
        66       12.552578
        67        9.356892
        68        6.735321
        69        4.738808
        70        3.609804
        71        3.712747
        72        4.825201
        73        7.165086
        74       10.747330
        75       15.325721
        76       22.231244
