% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 16
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       57.456707
         2       52.450985
         3       52.141366
         4       52.356442
         5       51.978593
         6       50.980795
         7       50.572348
         8       50.719486
         9       50.659640
        10       50.275100
        11       49.688394
        12       48.689854
        13       47.289368
        14       45.938098
        15       44.444974
        16       42.137011
        17       40.489255
        18       38.973135
        19       37.819507
        20       36.786102
        21       36.084145
        22       35.413198
        23       35.547162
        24       35.159026
        25       34.999977
        26       35.190363
        27       35.441148
        28       35.675770
        29       35.954536
        30       36.067383
        31       35.995782
        32       35.588771
        33       35.491405
        34       35.554733
        35       35.142590
        36       34.434730
        37       32.827546
        38       30.322445
        39       28.206999
        40       25.591556
        41       24.334139
        42       22.277566
        43       21.443086
        44       20.925411
        45       20.841156
        46       21.058377
        47       21.417334
        48       21.403220
        49       21.460561
        50       20.937266
        51       20.622270
        52       19.993132
        53       19.269374
        54       18.667861
        55       18.051515
        56       17.862768
        57       17.956554
        58       18.244120
        59       18.567475
        60       18.889268
        61       19.081077
        62       19.444127
        63       19.622543
        64       19.380577
        65       17.230923
        66       13.997918
        67       10.815987
        68        8.144621
        69        5.974551
        70        4.556715
        71        3.679579
        72        4.086997
        73        5.153014
        74        7.229115
        75       10.974458
        76       17.304989
