% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 72
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       57.863905
         2       52.858193
         3       52.548695
         4       52.765235
         5       52.391970
         6       51.393963
         7       50.985170
         8       51.133139
         9       51.074425
        10       50.689799
        11       50.101830
        12       49.101455
        13       47.699402
        14       46.347270
        15       44.853700
        16       42.545230
        17       40.897336
        18       39.381254
        19       38.227823
        20       37.194606
        21       36.493277
        22       35.822913
        23       35.957998
        24       35.568225
        25       35.403924
        26       35.579606
        27       35.763089
        28       35.935918
        29       36.165308
        30       36.211511
        31       36.125792
        32       35.647586
        33       35.602745
        34       35.705891
        35       35.365985
        36       34.727693
        37       33.183242
        38       30.709220
        39       28.603574
        40       25.993293
        41       24.736273
        42       22.679179
        43       21.829011
        44       21.293110
        45       21.145594
        46       21.298588
        47       21.578724
        48       21.488745
        49       21.533672
        50       20.979022
        51       20.760583
        52       20.208874
        53       19.622087
        54       19.097047
        55       18.526397
        56       18.351659
        57       18.384419
        58       18.592408
        59       18.867239
        60       19.134211
        61       19.305245
        62       19.642578
        63       19.752745
        64       19.443005
        65       17.248641
        66       14.019557
        67       10.840726
        68        8.175354
        69        6.021324
        70        4.627071
        71        3.797918
        72        4.187259
        73        4.948864
        74        6.761219
        75       10.418948
        76       16.708086
