% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 64
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       54.658021
         2       49.655416
         3       49.380830
         4       49.607408
         5       49.224503
         6       48.214566
         7       47.808632
         8       47.963183
         9       47.902332
        10       47.513110
        11       46.921444
        12       45.916063
        13       44.509698
        14       43.157583
        15       41.662897
        16       39.349608
        17       37.705994
        18       36.191747
        19       35.042182
        20       34.011288
        21       33.314600
        22       32.646172
        23       32.794542
        24       32.399842
        25       32.240765
        26       32.425909
        27       32.613629
        28       32.789707
        29       33.023946
        30       33.068098
        31       32.979241
        32       32.491833
        33       32.456185
        34       32.565105
        35       32.216712
        36       31.569853
        37       30.004349
        38       27.515039
        39       25.409015
        40       22.798596
        41       21.549454
        42       19.487765
        43       18.660483
        44       18.141307
        45       18.037226
        46       18.237396
        47       18.639623
        48       18.675882
        49       18.947108
        50       18.525447
        51       18.847724
        52       18.788862
        53       18.942840
        54       18.891654
        55       18.578760
        56       18.350257
        57       18.296763
        58       18.264658
        59       18.352142
        60       18.396794
        61       18.601132
        62       18.948414
        63       19.284148
        64       19.170104
        65       17.133863
        66       13.939539
        67       10.779302
        68        8.124133
        69        5.966863
        70        4.561216
        71        3.691400
        72        4.116211
        73        5.181195
        74        7.270141
        75       11.020153
        76       17.358851
