% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 18
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       59.957382
         2       54.951658
         3       54.641910
         4       54.855403
         5       54.461473
         6       53.465919
         7       53.060500
         8       53.206478
         9       53.142028
        10       52.755403
        11       52.169090
        12       51.173644
        13       49.772826
        14       48.421283
        15       46.929018
        16       44.625633
        17       42.979762
        18       41.463565
        19       40.309224
        20       39.273849
        21       38.566909
        22       37.881659
        23       37.977191
        24       37.528613
        25       37.085238
        26       37.097949
        27       36.974822
        28       36.901709
        29       36.990869
        30       36.882636
        31       36.831063
        32       36.290571
        33       36.430280
        34       36.657931
        35       36.574435
        36       36.154314
        37       34.920450
        38       32.629779
        39       30.586180
        40       27.977127
        41       26.479964
        42       24.409845
        43       23.133570
        44       22.484635
        45       21.980878
        46       21.873034
        47       21.949972
        48       21.722148
        49       21.797513
        50       21.278412
        51       21.319694
        52       20.986852
        53       20.651964
        54       20.166675
        55       19.553585
        56       19.143655
        57       19.013262
        58       18.987913
        59       19.057719
        60       19.169860
        61       19.240451
        62       19.528748
        63       19.667107
        64       19.406685
        65       17.249931
        66       14.014206
        67       10.828726
        68        8.152918
        69        5.978825
        70        4.555363
        71        3.674918
        72        4.070345
        73        5.136393
        74        7.202713
        75       10.944554
        76       17.269336
