% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 51
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       56.563309
         2       51.557383
         3       51.245415
         4       51.462140
         5       51.090480
         6       50.092761
         7       49.683578
         8       49.831378
         9       49.773112
        10       49.388726
        11       48.800784
        12       47.800415
        13       46.398334
        14       45.046014
        15       43.552436
        16       41.244232
        17       39.595939
        18       38.079745
        19       36.926142
        20       35.892875
        21       35.191384
        22       34.521054
        23       34.655672
        24       34.266576
        25       34.102241
        26       34.278410
        27       34.463694
        28       34.639289
        29       34.869197
        30       34.915059
        31       34.801687
        32       34.325930
        33       34.329384
        34       34.644244
        35       34.524824
        36       34.091211
        37       32.804723
        38       30.426073
        39       28.328886
        40       25.670160
        41       24.394528
        42       22.323426
        43       21.456728
        44       20.918367
        45       20.762673
        46       20.910528
        47       21.188676
        48       21.098144
        49       21.147883
        50       20.601165
        51       20.401774
        52       19.865957
        53       19.326231
        54       18.824308
        55       18.325657
        56       18.189710
        57       18.292832
        58       18.532906
        59       18.798467
        60       19.024469
        61       19.206712
        62       19.534135
        63       19.708207
        64       19.298144
        65       16.957646
        66       13.666027
        67       10.481707
        68        7.826833
        69        5.707934
        70        4.368786
        71        3.707420
        72        4.227238
        73        5.368145
        74        7.488782
        75       11.249371
        76       17.591619
