% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 52
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       53.323969
         2       48.318044
         3       48.006090
         4       48.223309
         5       47.850416
         6       46.852825
         7       46.443825
         8       46.591774
         9       46.533088
        10       46.147449
        11       45.559398
        12       44.559467
        13       43.157922
        14       41.805951
        15       40.312634
        16       38.004599
        17       36.356407
        18       34.840336
        19       33.686716
        20       32.653442
        21       31.951883
        22       31.281501
        23       31.415901
        24       31.026626
        25       30.862150
        26       31.038367
        27       31.227832
        28       31.410133
        29       31.676053
        30       31.768750
        31       31.909865
        32       31.567680
        33       31.858816
        34       32.257130
        35       32.503797
        36       32.598799
        37       31.854998
        38       29.837860
        39       27.838648
        40       25.186361
        41       23.901655
        42       21.819715
        43       20.938651
        44       20.395177
        45       20.227547
        46       20.368980
        47       20.642250
        48       20.557788
        49       20.615748
        50       20.088813
        51       19.922513
        52       19.416147
        53       18.988221
        54       18.549260
        55       18.183240
        56       18.138243
        57       18.286062
        58       18.513508
        59       18.755899
        60       18.920992
        61       19.159929
        62       19.488645
        63       19.713345
        64       19.100853
        65       16.548169
        66       13.198398
        67       10.014613
        68        7.379306
        69        5.325402
        70        4.089251
        71        3.765976
        72        4.475334
        73        5.777051
        74        7.977893
        75       11.766509
        76       18.122503
