% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 74
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       57.542671
         2       52.536959
         3       52.227460
         4       52.444001
         5       52.070735
         6       51.072729
         7       50.663935
         8       50.811905
         9       50.753191
        10       50.368565
        11       49.780595
        12       48.780220
        13       47.378167
        14       46.026036
        15       44.532466
        16       42.223995
        17       40.576101
        18       39.060020
        19       37.906589
        20       36.873372
        21       36.172042
        22       35.501678
        23       35.636763
        24       35.246991
        25       35.082690
        26       35.258371
        27       35.441855
        28       35.614683
        29       35.844074
        30       35.890276
        31       35.804557
        32       35.326351
        33       35.281510
        34       35.384654
        35       35.044739
        36       34.406438
        37       32.861974
        38       30.387967
        39       28.282334
        40       25.672058
        41       24.415038
        42       22.357944
        43       21.507776
        44       20.971874
        45       20.824360
        46       20.977360
        47       21.257536
        48       21.167543
        49       21.211764
        50       20.654787
        51       20.429628
        52       19.875627
        53       19.266121
        54       18.730310
        55       18.217457
        56       18.077575
        57       18.295170
        58       18.646414
        59       18.934415
        60       19.150065
        61       19.267526
        62       19.556449
        63       19.795909
        64       19.411141
        65       17.052642
        66       13.717797
        67       10.518902
        68        7.845229
        69        5.675106
        70        4.263341
        71        3.417060
        72        3.963920
        73        5.895548
        74        9.167047
        75       13.517730
        76       20.221911
