% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 63
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       53.380385
         2       48.377781
         3       48.103194
         4       48.329773
         5       47.946868
         6       46.936932
         7       46.531000
         8       46.685558
         9       46.624714
        10       46.235504
        11       45.643851
        12       44.638463
        13       43.232085
        14       41.879962
        15       40.385271
        16       38.071976
        17       36.428361
        18       34.914113
        19       33.764547
        20       32.733654
        21       32.036966
        22       31.368539
        23       31.516911
        24       31.122214
        25       30.963142
        26       31.148297
        27       31.336036
        28       31.512139
        29       31.746415
        30       31.790602
        31       31.701771
        32       31.214353
        33       31.178721
        34       31.287663
        35       30.939249
        36       30.292335
        37       28.726752
        38       26.237388
        39       24.131356
        40       21.520879
        41       20.271598
        42       18.209837
        43       17.382416
        44       16.863042
        45       16.760477
        46       16.962965
        47       17.376607
        48       17.420955
        49       17.702505
        50       17.284067
        51       17.618617
        52       17.595635
        53       17.813801
        54       17.912418
        55       17.717773
        56       17.685786
        57       17.772241
        58       17.856349
        59       18.038909
        60       18.080944
        61       18.404517
        62       18.801138
        63       19.260040
        64       19.181969
        65       17.116304
        66       13.914932
        67       10.766164
        68        8.122999
        69        5.974690
        70        4.576966
        71        3.706214
        72        4.144776
        73        5.206720
        74        7.307776
        75       11.062241
        76       17.409036
