% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 33
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       55.774272
         2       50.775033
         3       50.538512
         4       50.793910
         5       50.415435
         6       49.406199
         7       49.045428
         8       49.296308
         9       49.456945
        10       49.409161
        11       49.157639
        12       48.575464
        13       47.558002
        14       46.290860
        15       44.880728
        16       42.658313
        17       41.049892
        18       39.565504
        19       38.460154
        20       37.453042
        21       36.783287
        22       36.217505
        23       36.377622
        24       36.059004
        25       35.989624
        26       36.232168
        27       36.577890
        28       36.894512
        29       37.189478
        30       37.282729
        31       37.085476
        32       36.273111
        33       36.174184
        34       36.226040
        35       35.878751
        36       35.209523
        37       33.617484
        38       31.167955
        39       29.079894
        40       26.559146
        41       25.367885
        42       23.358141
        43       22.620787
        44       22.142817
        45       22.180779
        46       22.508249
        47       22.964226
        48       22.828576
        49       22.733753
        50       21.789893
        51       21.493191
        52       20.867920
        53       20.304621
        54       19.849913
        55       19.323571
        56       19.229937
        57       19.399277
        58       19.756246
        59       20.073398
        60       20.228791
        61       20.158582
        62       20.269918
        63       20.159209
        64       19.653309
        65       17.300374
        66       14.016474
        67       10.828414
        68        8.158049
        69        5.984621
        70        4.563545
        71        3.660642
        72        4.072680
        73        5.120815
        74        7.200443
        75       10.947170
        76       17.284828
