% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 24
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       60.238932
         2       55.233235
         3       54.923828
         4       55.141452
         5       54.775367
         6       53.785352
         7       53.392182
         8       53.571007
         9       53.553312
        10       53.219994
        11       52.673652
        12       51.708634
        13       50.277562
        14       48.891208
        15       47.379128
        16       45.073376
        17       43.443145
        18       41.960804
        19       41.080254
        20       40.178067
        21       39.516977
        22       38.704388
        23       38.825490
        24       38.349669
        25       38.101902
        26       38.240255
        27       38.393053
        28       38.540543
        29       38.723181
        30       38.639348
        31       38.150627
        32       37.463475
        33       36.984654
        34       36.981840
        35       36.269631
        36       35.390479
        37       33.643288
        38       30.980335
        39       28.794624
        40       25.990214
        41       24.667960
        42       22.549869
        43       21.644461
        44       21.093918
        45       20.917542
        46       21.053991
        47       21.325793
        48       21.239626
        49       21.296803
        50       20.759574
        51       20.571074
        52       20.036807
        53       19.467342
        54       18.935275
        55       18.387568
        56       18.210077
        57       18.294817
        58       18.528815
        59       18.792521
        60       19.029928
        61       19.196459
        62       19.518812
        63       19.689193
        64       19.344277
        65       17.079788
        66       13.811065
        67       10.627648
        68        7.964149
        69        5.821356
        70        4.443803
        71        3.684282
        72        4.148511
        73        5.289154
        74        7.413345
        75       11.175540
        76       17.512916
