% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 58
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       55.250250
         2       50.244546
         3       49.935101
         4       50.152455
         5       49.781857
         6       48.805693
         7       48.428163
         8       48.585654
         9       48.527163
        10       48.138246
        11       47.546396
        12       46.530628
        13       45.110557
        14       43.748690
        15       42.249273
        16       39.936234
        17       38.287450
        18       36.771208
        19       35.618079
        20       34.586619
        21       33.889474
        22       33.224266
        23       33.372901
        24       32.994595
        25       32.846455
        26       33.049691
        27       33.260764
        28       33.453363
        29       33.722002
        30       33.784111
        31       33.692294
        32       33.183243
        33       33.137446
        34       33.278208
        35       33.017053
        36       32.829748
        37       32.023179
        38       30.259947
        39       28.487997
        40       25.977712
        41       24.730852
        42       22.720715
        43       21.808064
        44       21.268447
        45       21.082490
        46       21.209670
        47       21.481975
        48       21.391794
        49       21.460952
        50       20.926471
        51       20.747760
        52       20.215800
        53       19.623671
        54       19.071009
        55       18.481340
        56       18.261942
        57       18.321563
        58       18.544669
        59       18.807928
        60       19.058053
        61       19.208606
        62       19.532733
        63       19.684842
        64       19.392427
        65       17.193180
        66       13.946296
        67       10.764604
        68        8.096653
        69        5.934967
        70        4.528587
        71        3.680669
        72        4.102715
        73        5.178106
        74        7.259887
        75       11.007174
        76       17.339239
