% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 32
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       57.137866
         2       52.133149
         3       51.835271
         4       52.064255
         5       51.699836
         6       50.705312
         7       50.321015
         8       50.521769
         9       50.550793
        10       50.294313
        11       49.939498
        12       49.079062
        13       47.777656
        14       46.710048
        15       45.405478
        16       43.245012
        17       41.636417
        18       40.118585
        19       38.870375
        20       37.791417
        21       37.050072
        22       36.247257
        23       36.352037
        24       35.893267
        25       35.654224
        26       35.787292
        27       35.898860
        28       36.013990
        29       36.216699
        30       36.227974
        31       36.163023
        32       35.726806
        33       35.694678
        34       35.832610
        35       35.496715
        36       34.896028
        37       33.398224
        38       30.912155
        39       28.804745
        40       26.084828
        41       24.785724
        42       22.702429
        43       21.792590
        44       21.234709
        45       21.016260
        46       21.109816
        47       21.336395
        48       21.231275
        49       21.302441
        50       20.813690
        51       20.641871
        52       20.125762
        53       19.527823
        54       18.973318
        55       18.380199
        56       18.155899
        57       18.197798
        58       18.394488
        59       18.638032
        60       18.890139
        61       19.063012
        62       19.419388
        63       19.616633
        64       19.365368
        65       17.195567
        66       13.952111
        67       10.768226
        68        8.098042
        69        5.933539
        70        4.525349
        71        3.673235
        72        4.098745
        73        5.191322
        74        7.291896
        75       11.045892
        76       17.382072
