% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 42
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       59.128518
         2       54.122820
         3       53.813373
         4       54.030546
         5       53.659151
         6       52.670833
         7       52.320081
         8       52.512339
         9       52.455070
        10       52.042978
        11       51.427500
        12       50.405106
        13       49.001696
        14       47.661031
        15       46.159332
        16       43.823078
        17       42.116177
        18       40.567231
        19       39.380361
        20       38.336688
        21       37.616153
        22       36.940191
        23       37.026060
        24       36.659509
        25       36.494316
        26       36.651408
        27       36.820120
        28       36.987183
        29       37.205397
        30       37.267031
        31       37.200206
        32       36.771873
        33       36.716728
        34       36.813051
        35       36.517999
        36       35.933860
        37       34.440158
        38       32.005087
        39       29.917344
        40       27.323445
        41       26.076461
        42       24.029467
        43       23.188511
        44       22.656177
        45       22.514909
        46       22.671519
        47       22.953854
        48       22.857517
        49       22.886498
        50       22.289657
        51       21.977133
        52       21.336476
        53       20.413090
        54       19.713116
        55       18.856924
        56       18.514563
        57       18.522092
        58       18.782772
        59       19.094133
        60       19.449034
        61       19.509383
        62       19.823995
        63       19.888215
        64       19.889790
        65       18.127700
        66       15.036222
        67       11.853446
        68        9.118826
        69        6.754199
        70        5.068912
        71        3.590003
        72        3.768998
        73        4.686615
        74        6.694284
        75       10.417126
        76       16.735023
