% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 34
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       49.007999
         2       44.007733
         3       43.758978
         4       43.996826
         5       43.615181
         6       42.613818
         7       42.251605
         8       42.478946
         9       42.581087
        10       42.468846
        11       42.171799
        12       41.463317
        13       40.339164
        14       39.226037
        15       37.929005
        16       35.796143
        17       34.215812
        18       32.729833
        19       31.569072
        20       30.532113
        21       29.829605
        22       29.119254
        23       29.256857
        24       28.839797
        25       28.647491
        26       28.809111
        27       28.954483
        28       29.098453
        29       29.344634
        30       29.455070
        31       29.501017
        32       29.675720
        33       29.565868
        34       29.620214
        35       29.091732
        36       28.238312
        37       26.518748
        38       23.958212
        39       21.834864
        40       19.173068
        41       17.901278
        42       15.838212
        43       14.959826
        44       14.411619
        45       14.219928
        46       14.335520
        47       14.602367
        48       14.698753
        49       14.919592
        50       14.982973
        51       14.646958
        52       14.022663
        53       13.080685
        54       12.334356
        55       11.669133
        56       11.456538
        57       11.554074
        58       11.880300
        59       12.327448
        60       12.950302
        61       13.672698
        62       14.682845
        63       15.899754
        64       16.998528
        65       16.592170
        66       14.012228
        67       10.960431
        68        8.331334
        69        6.196021
        70        4.812307
        71        3.992561
        72        4.448489
        73        5.543700
        74        7.661288
        75       11.421598
        76       17.768734
