% Free Energy Profile
% Temperature: 310 K
% Masked Residue: 48
% Column 1: Number of Structured Blocks
% Column 2: Free Energy (kJ/mol)
% N_blocks       FE_kJ/mol
         1       57.663155
         2       52.657453
         3       52.347985
         4       52.564981
         5       52.192031
         6       51.193743
         7       50.784818
         8       50.932704
         9       50.873830
        10       50.488968
        11       49.900897
        12       48.900369
        13       47.497645
        14       46.145201
        15       44.651914
        16       42.344196
        17       40.696538
        18       39.180550
        19       38.027167
        20       36.993971
        21       36.292618
        22       35.622165
        23       35.756671
        24       35.365764
        25       35.199098
        26       35.370916
        27       35.548265
        28       35.713762
        29       35.930323
        30       35.973239
        31       35.892625
        32       35.428059
        33       35.381750
        34       35.464370
        35       35.133532
        36       34.561068
        37       33.104452
        38       30.724996
        39       28.660078
        40       26.100778
        41       24.867690
        42       22.828139
        43       22.000505
        44       21.469810
        45       21.334773
        46       21.494802
        47       21.778059
        48       21.688496
        49       21.727668
        50       21.162178
        51       20.917283
        52       20.344319
        53       19.693059
        54       19.135816
        55       18.526793
        56       18.331474
        57       18.407634
        58       18.663125
        59       18.950994
        60       19.224124
        61       19.367737
        62       19.689046
        63       19.816930
        64       19.520703
        65       17.323584
        66       14.075666
        67       10.889834
        68        8.214342
        69        6.031362
        70        4.595628
        71        3.666579
        72        4.054953
        73        5.103312
        74        7.174258
        75       10.917942
        76       17.249074
